,Year,Month,Day,Hour,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,price actual
33064,2018,10,9,15,367.0,760.0,6501.0,4894.0,312.0,0.0,815.0,1981.0,6934.0,57.0,110.0,3744.0,318.0,2896.0,79.36
33065,2018,10,9,16,365.0,760.0,7364.0,4943.0,310.0,0.0,825.0,1473.0,6939.0,57.0,110.0,3120.0,317.0,3512.0,77.72
33066,2018,10,9,17,367.0,760.0,7607.0,4945.0,312.0,0.0,853.0,3221.0,6943.0,57.0,109.0,1964.0,325.0,3870.0,81.55
33067,2018,10,9,18,369.0,760.0,7912.0,4957.0,312.0,0.0,873.0,4079.0,6947.0,56.0,110.0,873.0,324.0,3925.0,84.42
33068,2018,10,9,19,368.0,760.0,7659.0,4934.0,314.0,0.0,851.0,2953.0,6954.0,56.0,112.0,628.0,327.0,4250.0,84.16
33069,2018,10,9,20,369.0,759.0,5890.0,4844.0,314.0,0.0,850.0,2128.0,6948.0,56.0,98.0,545.0,316.0,4347.0,74.74
33070,2018,10,9,21,366.0,740.0,5040.0,4739.0,312.0,28.0,815.0,1445.0,6944.0,56.0,99.0,512.0,313.0,4274.0,67.87
33071,2018,10,9,22,365.0,745.0,4538.0,4731.0,315.0,0.0,528.0,604.0,7024.0,54.0,103.0,39.0,326.0,4519.0,65.15
33072,2018,10,9,23,365.0,747.0,4243.0,4355.0,311.0,64.0,515.0,458.0,7025.0,55.0,103.0,32.0,324.0,4558.0,62.35
33073,2018,10,10,0,371.0,760.0,4453.0,4161.0,302.0,294.0,520.0,543.0,7025.0,54.0,102.0,26.0,325.0,4304.0,60.92
33074,2018,10,10,1,370.0,735.0,4791.0,4472.0,297.0,199.0,519.0,555.0,7026.0,55.0,103.0,16.0,321.0,3989.0,59.93
33075,2018,10,10,2,372.0,764.0,4861.0,4856.0,297.0,196.0,525.0,438.0,7025.0,54.0,105.0,17.0,319.0,3838.0,60.38
33076,2018,10,10,3,370.0,744.0,4713.0,4519.0,301.0,196.0,522.0,430.0,7025.0,55.0,105.0,14.0,318.0,3587.0,60.01
33077,2018,10,10,4,369.0,733.0,6549.0,5222.0,300.0,24.0,548.0,1722.0,7025.0,55.0,106.0,13.0,311.0,3444.0,74.54
33078,2018,10,10,5,371.0,762.0,7569.0,5368.0,323.0,0.0,582.0,2376.0,7025.0,58.0,112.0,13.0,317.0,3442.0,79.2
33079,2018,10,10,6,374.0,762.0,7767.0,5474.0,326.0,13.0,584.0,2848.0,7023.0,60.0,112.0,48.0,332.0,3527.0,82.13
33080,2018,10,10,7,366.0,742.0,7919.0,5547.0,315.0,0.0,608.0,3633.0,7020.0,62.0,109.0,586.0,328.0,3258.0,82.15
33081,2018,10,10,8,364.0,743.0,7915.0,5554.0,325.0,0.0,607.0,3724.0,7018.0,60.0,112.0,1340.0,332.0,3147.0,82.84
33082,2018,10,10,9,368.0,740.0,7808.0,5545.0,324.0,0.0,590.0,2984.0,7018.0,56.0,112.0,2257.0,330.0,3473.0,80.21
33083,2018,10,10,10,353.0,738.0,7869.0,5542.0,318.0,12.0,583.0,1989.0,7020.0,60.0,111.0,2631.0,314.0,4057.0,78.47
33084,2018,10,10,11,315.0,738.0,7307.0,5502.0,322.0,0.0,554.0,913.0,7020.0,62.0,107.0,2801.0,321.0,4751.0,75.22
33085,2018,10,10,12,327.0,708.0,6282.0,5176.0,330.0,50.0,544.0,667.0,7019.0,61.0,105.0,2824.0,315.0,5538.0,71.1
33086,2018,10,10,13,341.0,687.0,6191.0,4835.0,326.0,276.0,548.0,844.0,7019.0,62.0,105.0,2705.0,311.0,5876.0,66.85
33087,2018,10,10,14,342.0,733.0,6220.0,4804.0,326.0,159.0,542.0,887.0,7019.0,59.0,102.0,2548.0,314.0,6054.0,66.33
33088,2018,10,10,15,342.0,749.0,7025.0,5215.0,328.0,0.0,545.0,952.0,7019.0,56.0,105.0,2367.0,308.0,6364.0,74.72
33089,2018,10,10,16,342.0,766.0,7480.0,5252.0,328.0,0.0,557.0,1022.0,7019.0,62.0,107.0,1592.0,310.0,6021.0,75.91
33090,2018,10,10,17,339.0,746.0,8434.0,5476.0,321.0,0.0,586.0,2330.0,7018.0,62.0,109.0,397.0,316.0,5181.0,79.49
33091,2018,10,10,18,342.0,756.0,8742.0,5567.0,326.0,13.0,582.0,2562.0,7018.0,60.0,108.0,23.0,319.0,5621.0,80.83
33092,2018,10,10,19,356.0,764.0,8051.0,5462.0,330.0,0.0,570.0,1968.0,7020.0,56.0,107.0,12.0,321.0,6296.0,78.51
33093,2018,10,10,20,367.0,729.0,5990.0,5215.0,327.0,0.0,566.0,1196.0,7022.0,55.0,103.0,12.0,320.0,6874.0,70.21
33094,2018,10,10,21,370.0,690.0,4560.0,4766.0,334.0,0.0,555.0,906.0,7022.0,55.0,107.0,12.0,321.0,7163.0,65.47
33095,2018,10,10,22,297.0,294.0,4526.0,2124.0,267.0,439.0,1255.0,1296.0,5072.0,50.0,97.0,16.0,290.0,11911.0,59.92
33096,2018,10,10,23,303.0,105.0,4087.0,1527.0,265.0,1182.0,1271.0,924.0,5051.0,51.0,96.0,17.0,288.0,12191.0,57.01
33097,2018,10,11,0,305.0,0.0,4153.0,1230.0,257.0,2057.0,1265.0,901.0,5012.0,50.0,98.0,17.0,288.0,12360.0,53.42
33098,2018,10,11,1,297.0,0.0,4101.0,1069.0,249.0,3112.0,1214.0,892.0,4915.0,51.0,96.0,16.0,285.0,12376.0,53.07
33099,2018,10,11,2,296.0,0.0,4207.0,1069.0,246.0,3237.0,1235.0,970.0,4762.0,51.0,95.0,16.0,288.0,12327.0,52.84
33100,2018,10,11,3,296.0,0.0,4323.0,1103.0,229.0,3121.0,1259.0,900.0,4641.0,51.0,93.0,16.0,287.0,12177.0,54.45
33101,2018,10,11,4,298.0,0.0,3998.0,1031.0,226.0,2859.0,1282.0,993.0,4605.0,51.0,95.0,17.0,290.0,12317.0,60.79
33102,2018,10,11,5,311.0,0.0,4355.0,1080.0,228.0,1991.0,1311.0,1302.0,4606.0,51.0,93.0,17.0,292.0,12101.0,74.3
33103,2018,10,11,6,317.0,0.0,4337.0,1235.0,216.0,982.0,1319.0,1172.0,4619.0,51.0,98.0,163.0,295.0,11892.0,78.11
33104,2018,10,11,7,321.0,0.0,4468.0,1528.0,219.0,173.0,1341.0,1576.0,4621.0,51.0,99.0,523.0,303.0,11746.0,78.86
33105,2018,10,11,8,332.0,0.0,4411.0,1604.0,224.0,1.0,1344.0,1971.0,4630.0,51.0,99.0,909.0,301.0,11477.0,78.32
33106,2018,10,11,9,332.0,0.0,4340.0,1721.0,222.0,1.0,1360.0,2493.0,4656.0,51.0,98.0,1180.0,287.0,11251.0,77.34
33107,2018,10,11,10,333.0,0.0,4223.0,1722.0,222.0,1.0,1361.0,2646.0,4676.0,51.0,98.0,1242.0,282.0,11579.0,76.18
33108,2018,10,11,11,337.0,0.0,4250.0,1653.0,222.0,1.0,1369.0,2257.0,4701.0,51.0,95.0,1256.0,307.0,12064.0,73.31
33109,2018,10,11,12,332.0,0.0,4113.0,1621.0,212.0,94.0,1359.0,1615.0,4719.0,51.0,93.0,1230.0,309.0,12523.0,68.52
33110,2018,10,11,13,330.0,0.0,4282.0,1605.0,210.0,301.0,1410.0,1449.0,4738.0,51.0,95.0,1014.0,310.0,12314.0,67.42
33111,2018,10,11,14,341.0,0.0,4253.0,1520.0,216.0,181.0,1419.0,1321.0,4756.0,51.0,97.0,602.0,314.0,12397.0,70.17
33112,2018,10,11,15,342.0,0.0,4804.0,1635.0,221.0,14.0,1422.0,1934.0,4776.0,51.0,98.0,189.0,315.0,12081.0,78.21
33113,2018,10,11,16,343.0,0.0,4946.0,1738.0,211.0,40.0,1458.0,3997.0,4795.0,51.0,99.0,21.0,315.0,11907.0,79.57
33114,2018,10,11,17,345.0,0.0,4953.0,1801.0,225.0,0.0,1455.0,3636.0,4817.0,51.0,97.0,17.0,314.0,11695.0,81.93
33115,2018,10,11,18,343.0,0.0,4880.0,1809.0,225.0,1.0,1466.0,2746.0,4835.0,52.0,97.0,17.0,316.0,11181.0,83.03
33116,2018,10,11,19,342.0,0.0,4474.0,1777.0,225.0,1.0,1456.0,2726.0,4854.0,52.0,94.0,16.0,317.0,10859.0,79.73
33117,2018,10,11,20,342.0,0.0,4334.0,1706.0,225.0,1.0,1454.0,2285.0,4875.0,51.0,97.0,17.0,314.0,10585.0,75.66
33118,2018,10,11,21,341.0,0.0,4380.0,1565.0,226.0,164.0,1435.0,1788.0,4896.0,50.0,92.0,17.0,315.0,10363.0,70.07
33119,2018,10,11,22,344.0,0.0,4656.0,3646.0,227.0,203.0,1048.0,914.0,6047.0,57.0,81.0,42.0,273.0,6217.0,61.02
33120,2018,10,11,23,346.0,0.0,4489.0,3095.0,229.0,370.0,1042.0,801.0,6047.0,56.0,81.0,40.0,276.0,6174.0,58.6
33121,2018,10,12,0,350.0,0.0,4533.0,2859.0,232.0,683.0,1031.0,816.0,6048.0,56.0,81.0,26.0,273.0,5906.0,56.1
33122,2018,10,12,1,347.0,2.0,4687.0,2549.0,232.0,1031.0,1023.0,724.0,6045.0,57.0,81.0,23.0,272.0,5689.0,54.82
